Linux 5.4.0-132-generic (ku1rpaaxv008.kunet.ae) 	01/31/23 	_x86_64_	(8 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:35:01          2      0.11      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00     99.87
11:35:01          3      0.06      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.89
11:35:01          4      2.80      0.00      0.51      0.00      0.00      0.00      0.00      0.00      0.00     96.69
11:35:01          5      1.08      0.00      0.21      0.00      0.00      0.00      0.00      0.00      0.00     98.71
11:35:01          6      0.60      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00     99.29
11:35:01          7      0.94      0.00      0.17      0.00      0.00      0.00      0.00      0.00      0.00     98.89
11:45:01        all      0.79      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.06
11:45:01          0      1.05      0.00      0.19      0.00      0.00      0.00      0.00      0.00      0.00     98.75
11:45:01          1      0.16      0.00      0.03      0.01      0.00      0.00      0.00      0.00      0.00     99.80
11:45:01          2      0.15      0.00      0.03      0.00      0.00      0.00      0.00      0.00      0.00     99.82
11:45:01          3      0.06      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.89
11:45:01          4      2.75      0.00      0.53      0.00      0.00      0.00      0.00      0.00      0.00     96.73
11:45:01          5      1.01      0.00      0.14      0.00      0.00      0.00      0.00      0.00      0.00     98.85
11:45:01          6      0.92      0.00      0.16      0.00      0.00      0.00      0.00      0.00      0.00     98.93
11:45:01          7      0.24      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.71
11:55:01        all      0.81      0.00      0.14      0.00      0.00      0.00      0.00      0.00      0.00     99.05
11:55:01          0      1.09      0.00      0.19      0.00      0.00      0.00      0.00      0.00      0.00     98.72
11:55:01          1      0.09      0.00      0.02      0.01      0.00      0.00      0.00      0.00      0.00     99.87
11:55:01          2      0.17      0.00      0.03      0.00      0.00      0.00      0.00      0.00      0.00     99.80
11:55:01          3      0.06      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.89
11:55:01          4      2.90      0.00      0.47      0.00      0.00      0.00      0.00      0.00      0.00     96.62
11:55:01          5      1.07      0.00      0.18      0.00      0.00      0.00      0.00      0.00      0.00     98.75
11:55:01          6      0.64      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00     99.25
11:55:01          7      0.45      0.00      0.08      0.00      0.00      0.00      0.00      0.00      0.00     99.47
12:05:01        all      0.80      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.05
12:05:01          0      0.43      0.00      0.06      0.00      0.00      0.00      0.00      0.00      0.00     99.51
12:05:01          1      0.03      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00     99.94
12:05:01          2      0.10      0.00      0.03      0.01      0.00      0.00      0.00      0.00      0.00     99.86
12:05:01          3      0.11      0.00      0.06      0.00      0.00      0.00      0.00      0.00      0.00     99.83
12:05:01          4      2.81      0.00      0.51      0.00      0.00      0.00      0.00      0.00      0.00     96.68
12:05:01          5      1.16      0.00      0.21      0.00      0.00      0.00      0.00      0.00      0.00     98.64
12:05:01          6      0.61      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00     99.28
12:05:01          7      1.18      0.00      0.19      0.00      0.00      0.00      0.00      0.00      0.00     98.63
12:15:01        all      0.79      0.00      0.14      0.00      0.00      0.00      0.00      0.00      0.00     99.07
12:15:01          0      0.69      0.00      0.14      0.00      0.00      0.00      0.00      0.00      0.00     99.17
12:15:01          1      0.01      0.00      0.00      0.01      0.00      0.00      0.00      0.00      0.00     99.98
12:15:01          2      0.11      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00     99.87
12:15:01          3      0.06      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.90
12:15:01          4      2.83      0.00      0.49      0.00      0.00      0.00      0.00      0.00      0.00     96.68
12:15:01          5      1.18      0.00      0.19      0.00      0.00      0.00      0.00      0.00      0.00     98.62
12:15:01          6      0.37      0.00      0.07      0.00      0.00      0.00      0.00      0.00      0.00     99.56
12:15:01          7      1.04      0.00      0.18      0.00      0.00      0.00      0.00      0.00      0.00     98.77
12:25:01        all      0.97      0.10      0.19      0.02      0.00      0.00      0.00      0.00      0.00     98.73
12:25:01          0      1.56      0.21      0.27      0.04      0.00      0.00      0.00      0.00      0.00     97.92
12:25:01          1      0.57      0.33      0.14      0.02      0.00      0.00      0.00      0.00      0.00     98.95
12:25:01          2      0.17      0.11      0.07      0.00      0.00      0.00      0.00      0.00      0.00     99.64
12:25:01          3      0.12      0.03      0.08      0.03      0.00      0.00      0.00      0.00      0.00     99.73
